4506,1498,7
9218,1541,0
1556,1327,0
2910,1452,0
18464,1574,0
1335,1308,0
1004,1276,0
1111,1278,0
6344,1409,0
3572,1370,0
3910,1555,7
10000,1469,0
6627,706,0
4636,3323,0
20237,4029,34
12912,3436,59
2819,2444,4
9921,3098,5
8046,2925,18
11166,3202,3
7842,2928,7
13840,3290,18
1329,489,0
6847,1969,9
5367,1889,0
2841,1636,0
0,1347,0
0,1347,0
7,1349,0
6344,1965,0
5316,1824,0
4979,1807,0
6556,1971,0
5430,1888,0
0,399,0
4317,2590,0
5662,2783,0
3198,2449,0
2352,2380,0
2234,2344,0
1259,2202,0
768,2130,0
519,2088,0
2523,2443,0
2105,2442,0
1209,2255,0
24,942,0
13603,2645,72
5477,2040,0
11144,2395,25
15313,2581,62
10805,2735,36
15392,2733,47
18247,3021,72
13023,2577,40
16267,2811,44
10005,2458,1
10106,2568,41
6717,1140,41
2605,1407,0
1229,1237,0
2308,1330,0
6679,1583,0
5645,1538,0
3180,1421,0
2767,1392,0
3762,1425,0
3098,1413,0
5142,1515,0
3279,1405,0
1019,600,0
0,1324,0
0,1324,0
0,1324,0
0,1324,0
4931,1708,0
6999,1950,0
1846,1508,0
3417,1625,0
4863,1772,1
2277,1530,0
11230,2206,10
2098,790,0
10272,2041,2
10533,2187,21
6760,1929,0
8328,1935,0
15459,2438,51
7485,2035,0
10254,2099,21
10114,2096,18
11107,2058,14
10320,2338,15
10209,2104,2
16081,2488,16
10078,2164,12
10001,2009,5
0,399,0
890,1335,0
2214,1559,0
7640,1845,3
9713,2046,6
8432,1953,0
7350,1910,0
9353,2035,5
7157,1944,0
14103,2257,46
5290,1724,1
7497,1741,0
0,0,0
0,1920,0
0,1920,0
0,1920,0
0,4562,0
4126,2881,0
0,1920,0
0,1920,0
2063,1144,0
5785,1852,0
7625,2069,24
4706,1816,0
5861,1878,20
4460,1787,0
6406,2010,17
7392,2038,14
5551,1815,0
8827,2062,21
4662,1276,22
4499,1288,0
7618,1490,0
11508,1630,29
11943,1648,16
12303,1649,26
15425,1783,24
8422,1431,0
10226,1524,0
14583,1697,35
3573,1232,15
3108,1223,1
759,182,0
5543,2990,0
3226,2480,0
3023,2570,0
5906,3016,0
12483,3830,25
8940,3706,0
368,2024,0
5702,2980,0
10330,3728,0
8778,3348,0
6662,3162,0
6309,3140,0
1951,1980,0
5563,3681,0
4370,3444,0
7144,3510,0
2106,4010,31
4152,2976,0
5400,3418,0
7428,3439,18
5351,3338,15
4299,2892,3
6107,3313,0
6429,3118,0
6880,2966,7
7476,3253,0
6581,3032,0
10480,4034,6
7734,3264,20
5129,2817,5
2993,2507,0
8,446,0
0,1777,0
0,1777,0
8433,2453,30
0,1776,0
2139,1935,0
0,1776,0
949,1870,0
0,1777,0
44,1782,0
2660,1978,0
5561,2296,0
